Ticker,Name,Close,Open,High,Low,Volume
G13.SI,GENTING SING,1.09,1.1,1.11,1.08,26877100
Z74.SI,SINGTEL,3.0,3.0,3.02,3.0,10824600
D05.SI,DBS,25.1,25.22,25.33,25.1,3293078
G3B.SI,NIKKO AM STI ETF,3.34,3.34,3.34,3.34,4500
CJLU.SI,NETLINK NBN TRUST,0.8,0.8,0.805,0.795,8347000
H17.SI,HI-P,0.985,0.99,1.01,0.98,3382900
AWX.SI,AEM,0.99,1.0,1.02,0.99,5263800
558.SI,UMS,0.67,0.665,0.675,0.655,2064100
BHQ.SI,SUNNINGDALE TECH,1.54,1.57,1.57,1.54,168100
5ME.SI,EZION,0.042,0.044,0.044,0.041,40130600
5CP.SI,SILVERLAKE AXIS,0.535,0.545,0.55,0.535,1661900
5WE.SI,MOYA ASIA,0.081,0.082,0.084,0.081,5697300
CEE.SI,CITIC ENVIROTECH,0.46,0.46,0.475,0.455,5176600
AU8U.SI,CAPITALAND RETAIL CHINA TRUST,1.44,1.44,1.44,1.43,520000
ND8U.SI,FRASERS COMMERICAL TRUST,1.48,1.48,1.49,1.47,1243500
K2LU.SI,CACHE LOGISTICS TRUST,0.715,0.715,0.72,0.715,837000
O5RU.SI,AIMS AMP CAP INDUSTRIAL REIT ,1.38,1.37,1.39,1.37,417000
BUOU.SI,FRASERS LOGISTIC & INDUSTRIAL TRUST,1.12,1.11,1.14,1.1,14234700
A17U.SI,ASCENDAS REAL ESTATE INVESTMENT TRUST,2.78,2.77,2.79,2.76,9862700
N2IU.SI,MAPLETREE COMMERICAL TRUST,1.78,1.78,1.78,1.76,3408000
ME8U.SI,MAPLETREE INDUSTRIAL TRUST,1.99,1.99,2.0,1.97,3905200
M44U.SI,MAPLETREE LOGISTIC TRUST,1.36,1.38,1.39,1.36,14036300
RW0U.SI,MAPLETREE NORTH ASIA COMMERICAL TRUST,1.24,1.25,1.25,1.23,5883600
T82U.SI,SUNTEC REAL ESTATE INVESTMENT TRUST,1.91,1.91,1.92,1.89,5506500
P40U.SI,STARHILL GLOBAL REAL ESTATE INVESTMENT TRUST,0.7,0.69,0.7,0.69,2291000
CRPU.SI,SASSEUR REIT,0.74,0.73,0.74,0.725,1710200
