Ticker,Name,Close,Prev_Open,Prev_Low,Prev_High,Prev_Close,Prev_Volume,52week Low,52week High,PE Ratio,PB Ratio,Dividend Yield
G13.SI,GENTING SING,1.1,1.09,1.1,1.08,1.08,25.592,0.86,1.32,17.28,1.705,0.032400000000000005
Z74.SI,SINGTEL,2.99,3.01,3.02,2.98,2.99,22.235,2.86,3.55,16.26,1.688,0.058499999999999996
D05.SI,DBS,25.2,24.88,24.99,24.63,24.79,4.886,22.8,30.84,11.56,1.328,0.0484
G3B.SI,NIKKO AM STI ETF,3.34,3.33,3.33,3.35,3.3,349.4,3.07,3.44,-,-,-
CJLU.SI,NETLINK NBN TRUST,0.8,0.8,0.805,0.8,0.805,3.215,0.735,0.83,34.412,1.043,0.084
H17.SI,HI-P,1,1.02,1.02,0.99,1,6.598,0.73,2.72,7.165,2,0.05
AWX.SI,AEM,1.01,1.04,1.04,0.995,1.02,11.513,0.65,1.897,7.32,3.225,0.030600000000000002
558.SI,UMS,0.665,0.68,0.685,0.67,0.67,3.141,0.545,1.34,7.139,1.584,0.0672
BHQ.SI,SUNNINGDALE TECH,1.56,1.56,1.57,1.55,1.56,0.317,1.25,2.01,10.927,0.794,0.0481
5ME.SI,EZION,0.044,0.044,0.045,0.043,0.044,31.577,0.039,0.194,-,0.291,-
5CP.SI,SILVERLAKE AXIS,0.545,0.535,0.55,0.53,0.545,13.401,0.4,0.58,23.126,8.597,0.0233
5WE.SI,MOYA ASIA,0.082,0.084,0.084,0.081,0.081,3.265,0.064,0.104,11.565,1.326,-
CEE.SI,CITIC ENVIROTECH,0.445,0.475,0.48,0.45,0.46,3.864,0.33,0.765,10.361,0.64,0.0326
AU8U.SI,CAPITALAND RETAIL CHINA TRUST,1.45,1.39,1.43,1.39,1.43,2.517,1.35,1.61,10.866,0.903,0.07150000000000001
ND8U.SI,FRASERS COMMERICAL TRUST,1.49,1.46,1.49,1.45,1.49,3.102,1.35,1.51,9.186,0.941,0.0644
K2LU.SI,CACHE LOGISTICS TRUST,0.715,0.71,0.72,0.71,0.715,0.967,0.66,0.86,30.574,0.943,0.08259999999999999
O5RU.SI,AIMS AMP CAP INDUSTRIAL REIT ,1.38,1.38,1.38,1.36,1.38,0.172,1.29,1.43,14.276,1.014,0.07339999999999999
BUOU.SI,FRASERS LOGISTIC & INDUSTRIAL TRUST,1.11,1.1,1.11,1.09,1.11,6.811,1.01,1.12,12.675,1.223,0.06
A17U.SI,ASCENDAS REAL ESTATE INVESTMENT TRUST,2.78,2.75,2.77,2.74,2.76,13.891,2.48,2.77,17.021,1.262,0.0572
N2IU.SI,MAPLETREE COMMERICAL TRUST,1.79,1.77,1.8,1.75,1.79,3.604,1.54,1.82,9.278,1.207,0.0508
ME8U.SI,MAPLETREE INDUSTRIAL TRUST,2,1.99,2,1.98,1.99,1.984,1.84,2.05,11.908,1.345,0.0605
M44U.SI,MAPLETREE LOGISTIC TRUST,1.4,1.37,1.39,1.36,1.39,11.313,1.18,1.39,10.024,1.116,0.0565
RW0U.SI,MAPLETREE NORTH ASIA COMMERICAL TRUST,1.25,1.23,1.25,1.22,1.25,5.659,1.08,1.28,6.559,0.95,0.076
T82U.SI,SUNTEC REAL ESTATE INVESTMENT TRUST,1.91,1.87,1.9,1.86,1.9,8.94,1.67,1.98,17.876,0.9,0.0526
P40U.SI,STARHILL GLOBAL REAL ESTATE INVESTMENT TRUST,0.69,0.685,0.695,0.68,0.695,2.112,0.64,0.735,14.539,0.772,0.0642
CRPU.SI,SASSEUR REIT,0.705,0.69,0.7,0.69,0.7,0.675,0.64,0.805,13.566,0.897,-
